자치구 기준일,종로구 전체,종로구 추가,중구 전체,중구 추가,용산구 전체,용산구 추가,성동구 전체,성동구 추가,광진구 전체,광진구 추가,동대문구 전체,동대문구 추가,중랑구 전체,중랑구 추가,성북구 전체,성북구 추가,강북구 전체,강북구 추가,도봉구 전체,도봉구 추가,노원구 전체,노원구 추가,은평구 전체,은평구 추가,서대문구 전체,서대문구 추가,마포구 전체,마포구 추가,양천구 전체,양천구 추가,강서구 전체,강서구 추가,구로구 전체,구로구 추가,금천구 전체,금천구 추가,영등포구 전체,영등포구 추가,동작구 전체,동작구 추가,관악구 전체,관악구 추가,서초구 전체,서추구 추가,강남구 전체,강남구 추가,송파구 전체,송파구 추가,강동구 전체,강동구 추가,기타 전체,기타 추가,수집일
2021.07.08.00,869,6,788,10,1543,18,1559,36,1775,22,1919,13,2219,13,2180,20,1483,15,1591,24,2407,20,2243,21,1342,14,1783,19,1806,10,2529,21,1717,18,871,11,2026,22,2149,23,2419,19,2367,27,3587,57,3188,27,2114,32,4600,32,11:40.0
2021.07.07.00,864,11,778,8,1525,26,1524,24,1753,27,1906,16,2206,5,2158,21,1468,4,1567,12,2387,17,2221,25,1329,15,1765,23,1796,22,2508,33,1700,21,860,7,2004,39,2126,15,2401,31,2340,32,3528,67,3162,32,2082,20,4566,30,11:40.0
2021.07.06.00,853,3,770,3,1499,16,1499,18,1726,11,1891,10,2201,11,2137,13,1464,6,1555,6,2370,23,2196,10,1314,11,1742,11,1774,11,2475,11,1679,4,853,7,1967,13,2111,10,2370,13,2308,19,3461,36,3130,20,2061,7,4535,17,11:40.0
2021.07.05.00,850,8,768,8,1483,19,1481,6,1715,13,1881,16,2189,9,2122,8,1459,4,1549,6,2347,18,2186,7,1303,8,1731,14,1763,13,2465,13,1675,5,846,7,1954,15,2102,9,2357,18,2289,19,3426,34,3109,19,2054,4,4517,7,11:40.0
2021.07.04.00,842,7,760,4,1464,13,1475,15,1702,9,1865,7,2180,5,2114,17,1455,10,1543,13,2329,15,2179,12,1295,11,1717,17,1750,4,2452,12,1670,4,839,7,1939,10,2093,8,2339,8,2270,18,3392,19,3090,21,2050,8,4510,15,11:40.0
2021.07.03.00,835,6,756,6,1451,24,1460,9,1693,5,1858,12,2175,9,2097,14,1444,5,1530,15,2314,20,2168,16,1284,7,1700,22,1745,9,2440,18,1667,4,832,4,1929,20,2085,8,2331,19,2252,16,3373,53,3070,22,2042,9,4495,7,11:40.0
2021.07.02.00,830,7,750,2,1428,17,1451,9,1687,10,1846,10,2166,4,2083,12,1439,8,1515,11,2295,16,2152,11,1276,15,1679,18,1736,7,2423,20,1663,10,829,2,1908,12,2077,22,2312,15,2235,20,3320,51,3047,19,2033,9,4488,10,11:40.0
2021.07.01.00,823,2,748,2,1411,13,1442,14,1677,10,1836,13,2162,11,2071,10,1431,14,1504,7,2279,10,2141,8,1261,5,1661,21,1729,9,2403,15,1653,4,827,3,1896,10,2055,12,2297,13,2215,20,3269,57,3028,21,2024,17,4478,13,11:40.0
2021.06.30.00,821,1,747,9,1398,15,1429,18,1668,18,1823,18,2151,6,2059,12,1417,12,1497,11,2269,7,2133,14,1256,6,1640,20,1720,9,2388,27,1649,8,824,4,1886,12,2044,12,2284,11,2195,23,3212,49,3007,18,2006,15,4464,20,11:40.0
2021.06.29.00,820,2,738,2,1383,6,1411,4,1650,14,1806,6,2146,4,2047,10,1405,5,1486,1,2262,6,2119,8,1250,6,1620,13,1711,6,2361,11,1641,8,820,1,1874,7,2032,3,2273,3,2172,11,3163,36,2990,11,1991,10,4441,11,11:40.0
2021.06.28.00,818,3,735,2,1377,7,1407,7,1636,10,1800,6,2142,4,2037,6,1400,3,1485,3,2256,7,2111,10,1244,3,1607,7,1705,12,2350,6,1633,6,819,5,1867,7,2029,6,2270,3,2161,7,3128,30,2979,11,1981,6,4430,8,11:40.0
2021.06.27.00,815,5,733,2,1370,9,1400,27,1626,8,1794,4,2138,4,2031,11,1397,1,1482,1,2249,7,2101,12,1240,17,1599,10,1693,5,2344,9,1628,12,814,1,1860,9,2023,8,2267,4,2155,9,3098,28,2968,16,1975,7,4422,16,11:40.0
2021.06.26.00,810,4,731,1,1361,10,1373,13,1619,13,1790,3,2134,8,2020,9,1396,5,1481,5,2242,10,2089,13,1225,10,1588,16,1688,3,2335,11,1616,7,813,8,1851,11,2015,8,2263,8,2146,9,3070,38,2952,13,1968,16,4404,11,11:40.0
2021.06.25.00,806,4,730,7,1351,8,1360,13,1606,7,1787,5,2126,6,2011,15,1391,4,1476,2,2232,13,2076,14,1215,9,1572,19,1685,5,2324,5,1609,13,805,2,1840,20,2007,3,2255,17,2137,18,3032,31,2939,8,1952,10,4393,11,11:40.0
2021.06.24.00,802,6,724,6,1343,9,1347,14,1601,1,1782,1,2120,3,1995,7,1388,6,1474,4,2219,11,2062,13,1206,5,1553,10,1679,4,2320,17,1596,6,803,2,1820,15,2004,4,2238,12,2119,16,3001,34,2930,17,1940,12,4382,17,11:40.0
2021.06.23.00,796,1,718,2,1334,8,1333,8,1600,10,1781,8,2116,5,1988,12,1382,1,1470,6,2208,14,2049,6,1201,8,1543,6,1675,12,2303,15,1590,5,801,1,1805,11,2000,9,2226,21,2103,13,2968,27,2912,7,1928,11,4366,9,11:40.0
2021.06.22.00,795,0,716,0,1326,5,1325,3,1590,5,1773,3,2111,4,1977,8,1381,5,1464,1,2194,1,2043,3,1193,1,1537,4,1663,8,2289,6,1585,2,800,1,1794,4,1991,3,2205,9,2090,8,2941,26,2905,8,1917,4,4356,10,11:40.0
2021.06.21.00,795,0,718,2,1321,6,1322,8,1585,7,1770,3,2107,2,1969,6,1376,2,1463,3,2193,5,2040,6,1192,1,1533,4,1654,6,2283,3,1583,9,799,2,1790,5,1988,6,2196,6,2082,7,2915,21,2897,7,1913,2,4345,5,11:40.0
2021.06.20.00,794,3,717,2,1309,9,1305,6,1568,8,1764,6,2098,9,1960,5,1370,2,1458,2,2186,10,2031,8,1188,3,1518,7,1644,7,2276,7,1569,8,790,6,1774,22,1971,9,2186,4,2061,8,2867,18,2884,17,1909,2,4333,9,11:40.0
2021.06.19.00,794,3,717,2,1309,9,1305,6,1568,8,1764,6,2098,9,1960,5,1370,2,1458,2,2186,10,2031,8,1188,3,1518,7,1644,7,2276,7,1569,8,790,6,1774,22,1971,9,2186,4,2061,8,2867,18,2884,17,1909,2,4333,9,11:40.0
